Region,Country,Year,Adult Mortality Rate
Americas,Barbados,2021,102.1
Europe,Bosnia and Herzegovina,2021,105
Europe,Türkiye,2021,104.5
Western Pacific,Brunei Darussalam,2021,106.1
Americas,Puerto Rico,2021,107.3
South-East Asia,Sri Lanka,2021,107
Americas,Costa Rica,2021,108.9
Americas,Panama,2021,109.3
South-East Asia,Bhutan,2021,110.2
Europe,Estonia,2021,113.3
Eastern Mediterranean,Lebanon,2021,113.6
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",2021,114.4
Eastern Mediterranean,Tunisia,2021,115
Europe,Montenegro,2021,117.1
Eastern Mediterranean,Iran (Islamic Republic of),2021,120.6
Europe,Poland,2021,128
Europe,Slovakia,2021,127.6
Americas,Colombia,2021,129.1
Americas,Argentina,2021,130.4
South-East Asia,Bangladesh,2021,130
Americas,Cuba,2021,129.9
Eastern Mediterranean,Syrian Arab Republic,2021,130.6
Western Pacific,Viet Nam,2021,131.2
Europe,Azerbaijan,2021,132.2
Africa,Seychelles,2021,132.5
Americas,Uruguay,2021,134.6
Eastern Mediterranean,Morocco,2021,136
Eastern Mediterranean,Oman,2021,136.1
Europe,Armenia,2021,136.8
Europe,Tajikistan,2021,136.6
Europe,Hungary,2021,139.5
Europe,North Macedonia,2021,140.2
Americas,Nicaragua,2021,141.3
Americas,United States of America,2021,141.8
Europe,Uzbekistan,2021,141.6
Europe,Serbia,2021,142.6
Americas,Ecuador,2021,144.9
Americas,Grenada,2021,147
Eastern Mediterranean,Iraq,2021,148.4
Americas,Dominican Republic,2021,149.2
Europe,Kyrgyzstan,2021,154.8
Africa,Cabo Verde,2021,156.1
Africa,Mauritius,2021,160.1
Europe,Romania,2021,159.5
Europe,Lithuania,2021,160.7
South-East Asia,Democratic People's Republic of Korea,2021,163.7
Western Pacific,Malaysia,2021,164.3
Europe,Belarus,2021,165.4
Eastern Mediterranean,Libya,2021,166.4
Americas,Jamaica,2021,169.5
Europe,Georgia,2021,170.1
South-East Asia,Thailand,2021,170.4
Eastern Mediterranean,Egypt,2021,171.2
Americas,Saint Lucia,2021,171.5
Western Pacific,Tonga,2021,170.6
Americas,Venezuela (Bolivarian Republic of),2021,171
South-East Asia,Nepal,2021,172.3
Africa,Mauritania,2021,173.3
Africa,Sao Tome and Principe,2021,172.8
Americas,Belize,2021,174.8
Americas,Brazil,2021,175.6
Europe,Latvia,2021,175.6
South-East Asia,Timor-Leste,2021,177.2
Europe,Bulgaria,2021,178.4
Eastern Mediterranean,Sudan,2021,185.2
Europe,Kazakhstan,2021,187
Americas,Peru,2021,186.6
Western Pacific,Lao People's Democratic Republic,2021,188.3
Americas,Saint Vincent and the Grenadines,2021,188
Europe,Turkmenistan,2021,189.8
Americas,Paraguay,2021,191.7
Europe,Republic of Moldova,2021,191.9
Americas,Trinidad and Tobago,2021,192.4
Africa,Nigeria,2021,194.1
Africa,Comoros,2021,195
Africa,Ethiopia,2021,195.8
Western Pacific,Cambodia,2021,197.1
Western Pacific,Indonesia,2021,198.6
Europe,Ukraine,2021,199.9
South-East Asia,Myanmar,2021,200.8
Western Pacific,Samoa,2021,202
Africa,Senegal,2021,203
Eastern Mediterranean,Pakistan,2021,203.7
Americas,Honduras,2021,205.2
Africa,Rwanda,2021,205.5
Americas,Mexico,2021,205.6
Americas,El Salvador,2021,207.9
Africa,Kenya,2021,209.9
Americas,Suriname,2021,210.8
Africa,Benin,2021,212.3
Western Pacific,Mongolia,2021,215.4
Americas,Bahamas,2021,218.2
South-East Asia,India,2021,219
Europe,Russian Federation,2021,221.2
Americas,Guatemala,2021,223.5
Africa,United Republic of Tanzania,2021,225.5
Eastern Mediterranean,Yemen,2021,225.6
Africa,Niger,2021,229.3
Western Pacific,Philippines,2021,232.5
Africa,Ghana,2021,235.1
Africa,Liberia,2021,236.3
Africa,Sierra Leone,2021,237
Africa,Mali,2021,238.1
Western Pacific,Papua New Guinea,2021,239.2
Eastern Mediterranean,Djibouti,2021,246.2
Africa,Burkina Faso,2021,247.4
Africa,Cote d'Ivoire,2021,248.1
Africa,Guinea,2021,247.9
Africa,Uganda,2021,247.6
Africa,Burundi,2021,249
Africa,Madagascar,2021,250.8
Africa,Togo,2021,250.7
Africa,Gabon,2021,260.2
Africa,Democratic Republic of the Congo,2021,262.7
Western Pacific,Fiji,2021,264.4
Africa,Gambia,2021,266.8
Americas,Guyana,2021,271.6
Americas,Bolivia (Plurinational State of),2021,272.5
Western Pacific,Vanuatu,2021,275
Africa,Angola,2021,276.7
Africa,Chad,2021,279.2
Western Pacific,Micronesia (Federated States of),2021,278.9
Africa,Cameroon,2021,280
Americas,Haiti,2021,282.4
Africa,Equatorial Guinea,2021,288.5
Africa,Eritrea,2021,295.2
Africa,Congo,2021,304.9
Africa,South Sudan,2021,306.4
Western Pacific,Solomon Islands,2021,306.5
Africa,Malawi,2021,323.4
Western Pacific,Kiribati,2021,327.1
Africa,Zambia,2021,334.9
Eastern Mediterranean,Afghanistan,2021,344.2
Africa,Guinea-Bissau,2021,355.5
Africa,Botswana,2021,365.7
Africa,South Africa,2021,371.4
Africa,Namibia,2021,378.1
Africa,Mozambique,2021,386.3
Eastern Mediterranean,Somalia,2021,404.5
Africa,Zimbabwe,2021,412.4
Europe,Switzerland,2021,44.98
Europe,Norway,2021,46.52
Africa,Central African Republic,2021,470.9
Europe,Luxembourg,2021,48.16
Europe,Sweden,2021,48.36
Western Pacific,Japan,2021,50.01
Africa,Eswatini,2021,508.9
Eastern Mediterranean,United Arab Emirates,2021,51.58
Western Pacific,Singapore,2021,53.37
Europe,Cyprus,2021,53.53
Europe,Israel,2021,54.17
Europe,Italy,2021,53.73
Western Pacific,Republic of Korea,2021,53.54
Europe,Iceland,2021,55.18
Europe,Spain,2021,55.34
Europe,Malta,2021,55.54
Europe,Denmark,2021,56.75
Europe,Ireland,2021,56.96
Africa,Lesotho,2021,573.7
Western Pacific,Australia,2021,57.58
Europe,Netherlands (Kingdom of the),2021,57.52
Europe,Belgium,2021,60.08
Europe,Austria,2021,61.36
South-East Asia,Maldives,2021,62.89
Europe,Finland,2021,65.49
Western Pacific,New Zealand,2021,64.85
Europe,Slovenia,2021,68.44
Europe,Germany,2021,68.89
Europe,France,2021,70.14
Eastern Mediterranean,Qatar,2021,70.94
Americas,Canada,2021,72.3
Europe,Portugal,2021,71.64
Eastern Mediterranean,Kuwait,2021,75.3
Europe,United Kingdom of Great Britain and Northern Ireland,2021,78.09
Europe,Greece,2021,78.5
Europe,Albania,2021,85.58
Western Pacific,China,2021,88.35
Eastern Mediterranean,Saudi Arabia,2021,88.24
Africa,Algeria,2021,90.91
Americas,Chile,2021,93.32
Americas,Antigua and Barbuda,2021,94.93
Eastern Mediterranean,Bahrain,2021,94.55
Europe,Czechia,2021,95.14
Europe,Croatia,2021,97.64
Eastern Mediterranean,Jordan,2021,97.82
South-East Asia,Bangladesh,2020,100.1
Americas,Panama,2020,101.4
Europe,Ukraine,2020,100.8
Eastern Mediterranean,Kuwait,2020,101.8
Eastern Mediterranean,Iran (Islamic Republic of),2020,103.4
Eastern Mediterranean,Oman,2020,103
Europe,Portugal,2020,102.7
Western Pacific,Brunei Darussalam,2020,103.5
Europe,Kyrgyzstan,2020,103.9
Europe,Slovakia,2020,103.7
Africa,Algeria,2020,105
Eastern Mediterranean,Bahrain,2020,104.7
Americas,Colombia,2020,105.1
Eastern Mediterranean,Tunisia,2020,104.7
Americas,Ecuador,2020,105.9
Europe,Estonia,2020,106.4
Africa,Mauritius,2020,105.6
Americas,Peru,2020,106
Americas,Barbados,2020,106.6
Eastern Mediterranean,Iraq,2020,106.8
Americas,Uruguay,2020,107.9
Americas,Puerto Rico,2020,109.1
Europe,Czechia,2020,109.9
Europe,North Macedonia,2020,110
South-East Asia,Bhutan,2020,111.1
Americas,Chile,2020,111.1
Europe,Montenegro,2020,111.2
Americas,Grenada,2020,111.9
Americas,Jamaica,2020,111.7
Europe,Kazakhstan,2020,111.7
Europe,Albania,2020,112.5
Western Pacific,Mongolia,2020,112.5
Eastern Mediterranean,Saudi Arabia,2020,112.8
Americas,El Salvador,2020,113.6
Europe,Uzbekistan,2020,114.3
Americas,Argentina,2020,115.2
Americas,Costa Rica,2020,114.7
South-East Asia,Democratic People's Republic of Korea,2020,114.6
Europe,Hungary,2020,115.9
Eastern Mediterranean,Lebanon,2020,115.5
Eastern Mediterranean,"occupied Palestinian territory, including east Jerusalem",2020,116.1
Europe,Tajikistan,2020,115.8
South-East Asia,Sri Lanka,2020,117.4
Europe,Türkiye,2020,117.4
Africa,Algeria,2020,117.9
Americas,Trinidad and Tobago,2020,117.6
Western Pacific,Viet Nam,2020,118.5
Eastern Mediterranean,Egypt,2020,119.1
Americas,Antigua and Barbuda,2020,119.5
Western Pacific,Brunei Darussalam,2020,120.4
Western Pacific,China,2020,119.6
Europe,Croatia,2020,120.1
Europe,Poland,2020,119.9
South-East Asia,Bangladesh,2020,120.8
Eastern Mediterranean,Morocco,2020,121.4
Americas,Nicaragua,2020,121.1
Europe,Russian Federation,2020,121.4
Americas,Belize,2020,121.6
Eastern Mediterranean,Libya,2020,122.3
Eastern Mediterranean,Oman,2020,122.1
Americas,Paraguay,2020,121.7
Western Pacific,Malaysia,2020,122.9
Western Pacific,Tonga,2020,122.6
Africa,Seychelles,2020,124.9
Americas,Cuba,2020,126.4
South-East Asia,Nepal,2020,126
Europe,Serbia,2020,126.5
South-East Asia,Bhutan,2020,126.7
Western Pacific,Philippines,2020,126.8
Americas,United States of America,2020,126.9
South-East Asia,Myanmar,2020,127.8
Americas,Barbados,2020,129.4
Americas,Panama,2020,129.2
Eastern Mediterranean,Morocco,2020,129.6
Americas,Saint Lucia,2020,129.9
Americas,Suriname,2020,131.8
Europe,Bosnia and Herzegovina,2020,133.3
Americas,Grenada,2020,133.4
